type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.337687729	121.222235477	5.3	#00ffff	1.00	4	RightBoundary	Shifted 8 m right of center	rightBoundary_new.kml
T	31.336837528	121.217995213	0.0						
T	31.336774640	121.217682558	0.6						
T	31.336708194	121.217358804	1.9						
T	31.336695691	121.217286437	1.9						
T	31.336691683	121.217261105	1.9						
T	31.336688797	121.217233147	1.9						
T	31.336687514	121.217195807	1.9						
T	31.336686193	121.217152523	1.9						
T	31.336687474	121.217106176	1.9						
T	31.336688938	121.217072868	1.9						
T	31.336692818	121.217028332	1.9						
T	31.336698212	121.216982813	1.9						
T	31.336705315	121.216939918	1.9						
T	31.336715622	121.216894740	1.8						
T	31.336728437	121.216845158	1.8						
T	31.336743914	121.216792921	1.7						
T	31.336765048	121.216738354	1.6						
T	31.336792319	121.216678807	1.5						
T	31.336816054	121.216636358	1.6						
T	31.336843390	121.216589883	1.8						
T	31.336873815	121.216545232	2.0						
T	31.336907466	121.216502131	2.2						
T	31.336933639	121.216471114	2.4						
T	31.336966585	121.216436508	2.6						
T	31.336989480	121.216414740	2.7						
T	31.337013342	121.216391906	2.7						
T	31.337051024	121.216360235	2.7						
T	31.337076056	121.216342790	2.6						
T	31.337104158	121.216324494	2.6						
T	31.337130050	121.216309355	2.5						
T	31.337149591	121.216297914	2.5						
T	31.337180103	121.216282840	2.5						
T	31.337203097	121.216272162	2.5						
T	31.337232952	121.216259958	2.5						
T	31.337260019	121.216250633	2.5						
T	31.337290497	121.216241695	2.5						
T	31.337313490	121.216236943	2.5						
T	31.337340678	121.216231731	2.6						
T	31.337365542	121.216227771	2.6						
T	31.337391144	121.216224602	2.6						
T	31.337411954	121.216222904	2.6						
T	31.337442924	121.216221432	2.6						
T	31.337467846	121.216221092	2.6						
T	31.337498761	121.216222673	2.6						
T	31.337524372	121.216225527	2.6						
T	31.337556616	121.216230602	2.7						
T	31.337582079	121.216235548	2.7						
T	31.337614334	121.216242836	2.7						
T	31.337641085	121.216250906	2.7						
T	31.337671834	121.216261969	2.7						
T	31.337697186	121.216272382	2.7						
T	31.337722372	121.216282925	2.7						
T	31.337750410	121.216297358	2.6						
T	31.337776567	121.216312914	2.5						
T	31.337802229	121.216330749	2.4						
T	31.337824671	121.216349159	2.3						
T	31.337849356	121.216373371	2.1						
T	31.337873381	121.216400860	1.9						
T	31.337895977	121.216431609	1.7						
T	31.337916454	121.216462525	1.5						
T	31.337932490	121.216492725	1.3						
T	31.337944937	121.216520105	1.1						
T	31.337957188	121.216551005	0.8						
T	31.337967049	121.216582721	0.6						
T	31.337973544	121.216612947	0.4						
T	31.337978923	121.216638483	0.2						
T	31.337982949	121.216668002	-0.0						
T	31.337985248	121.216693726	-0.1						
T	31.337987432	121.216722456	-0.2						
T	31.337988488	121.216755102	-0.3						
T	31.337988829	121.216778033	-0.4						
T	31.337987435	121.216802520	-0.5						
T	31.337984349	121.216829633	-0.6						
T	31.337979968	121.216856685	-0.7						
T	31.337973382	121.216885687	-0.8						
T	31.337965416	121.216911923	-0.9						
T	31.337957098	121.216935427	-1.0						
T	31.337945820	121.216959895	-1.0						
T	31.337935563	121.216978902	-0.9						
T	31.337925504	121.216996277	-0.9						
T	31.337912956	121.217011552	-0.9						
T	31.337898380	121.217027629	-0.8						
T	31.337885012	121.217040497	-0.8						
T	31.337868978	121.217053907	-0.7						
T	31.337856034	121.217062621	-0.7						
T	31.337837610	121.217072300	-0.6						
T	31.337813161	121.217081879	-0.6						
T	31.337792487	121.217085961	-0.5						
T	31.337770979	121.217088411	-0.5						
T	31.337746768	121.217088528	-0.4						
T	31.337726152	121.217087014	-0.4						
T	31.337703479	121.217082350	-0.4						
T	31.337682365	121.217076638	-0.3						
T	31.337663207	121.217070575	-0.3						
T	31.337643587	121.217064629	-0.3						
T	31.337616177	121.217054711	-0.3						
T	31.337601039	121.217048182	-0.2						
T	31.337585502	121.217041187	-0.2						
T	31.337566613	121.217032404	-0.2						
T	31.337544358	121.217020488	-0.1						
T	31.337523131	121.217010026	-0.1						
T	31.337502153	121.217001307	-0.0						
T	31.337486140	121.216994477	0.0						
T	31.337470291	121.216987647	0.0						
T	31.337460236	121.216984451	0.0						
T	31.337448568	121.216981399	0.0						
T	31.337438886	121.216979220	0.0						
T	31.337430398	121.216977302	0.0						
T	31.337420374	121.216975433	0.0						
T	31.337409019	121.216974291	0.0						
T	31.337393671	121.216973149	0.0						
T	31.337380199	121.216972839	0.0						
T	31.337364142	121.216973566	0.1						
T	31.337348795	121.216975437	0.1						
T	31.337332617	121.216977419	0.1						
T	31.337315601	121.216981219	0.1						
T	31.337298780	121.216985838	0.1						
T	31.337279871	121.216992222	0.1						
T	31.337262993	121.216998607	0.2						
T	31.337248028	121.217005534	0.2						
T	31.337229007	121.217015314	0.2						
T	31.337209518	121.217026588	0.3						
T	31.337188392	121.217041717	0.4						
T	31.337168071	121.217059070	0.5						
T	31.337148972	121.217077676	0.6						
T	31.337131859	121.217095745	0.7						
T	31.337115816	121.217115782	0.8						
T	31.337098800	121.217139197	0.8						
T	31.337082452	121.217164422	0.9						
T	31.337067479	121.217191435	1.0						
T	31.337054339	121.217221490	1.0						
T	31.337043105	121.217252495	1.0						
T	31.337035465	121.217284486	1.0						
T	31.337027996	121.217318619	1.0						
T	31.337023398	121.217355968	1.0						
T	31.337022024	121.217395325	1.0						
T	31.337023553	121.217434828	1.0						
T	31.337029361	121.217475795	1.0						
T	31.337038530	121.217514972	0.9						
T	31.337052023	121.217554630	0.8						
T	31.337068065	121.217589686	0.7						
T	31.337081166	121.217615978	0.6						
T	31.337097173	121.217643486	0.5						
T	31.337115401	121.217665452	0.4						
T	31.337133238	121.217684948	0.3						
T	31.337146609	121.217698166	0.3						
T	31.337156301	121.217707113	0.3						
T	31.337168030	121.217717463	0.2						
T	31.337183381	121.217729279	0.2						
T	31.337216122	121.217755608	0.1						
T	31.337255759	121.217784274	0.0						
T	31.337301023	121.217814927	0.0						
T	31.337357683	121.217850098	0.1						
T	31.337396716	121.217872476	0.2						
T	31.337445413	121.217896189	0.3						
T	31.337494048	121.217917159	0.5						
T	31.337530210	121.217929905	0.6						
T	31.337557089	121.217938824	0.7						
T	31.337579145	121.217945397	0.7						
T	31.337599597	121.217950874	0.8						
T	31.337627402	121.217956350	0.8						
T	31.337652824	121.217959166	0.8						
T	31.337684964	121.217959948	0.9						
T	31.337713433	121.217961042	0.9						
T	31.337739633	121.217961667	1.0						
T	31.337764323	121.217961666	1.0						
T	31.337787849	121.217961039	1.0						
T	31.337817220	121.217958688	1.1						
T	31.337843328	121.217955403	1.2						
T	31.337869126	121.217951333	1.2						
T	31.337894841	121.217946011	1.3						
T	31.337914491	121.217940689	1.3						
T	31.337937082	121.217932863	1.3						
