x,y,z
-240.584503,294.396515,21.620718
-242.074707,295.665100,21.711798
-240.716904,297.247192,21.697758
-237.511093,300.982391,21.664858
-234.303696,304.719604,21.631897
-232.950806,306.295898,21.617996
-231.552200,305.105713,21.520597
-230.115204,303.905090,21.421066
-228.645203,302.702606,21.319817
-227.145599,301.505188,21.217268
-225.625000,300.323792,21.113857
-224.087296,299.165314,21.010008
-222.539307,298.039001,20.906128
-220.983093,296.950409,20.802628
-219.430206,295.911499,20.699917
-217.882202,294.927185,20.598387
-216.354004,294.010498,20.498417
-214.848206,293.165894,20.400377
-213.371201,292.400208,20.304657
-211.934097,291.721710,20.212067
-209.760498,290.754089,20.091087
-207.855301,289.925110,19.977209
-206.153107,289.216187,19.866758
-204.544495,288.588898,19.757359
-202.899399,287.997894,19.647360
-201.117905,287.411591,19.535219
-199.056000,286.786102,19.418730
-197.206604,286.260803,19.313040
-195.447906,285.795013,19.199888
-193.761902,285.385498,19.078629
-192.108002,285.023804,18.949059
-190.485199,284.710510,18.819830
-188.859497,284.439087,18.695120
-187.197998,284.204987,18.573818
-185.482498,284.006104,18.454550
-183.689301,283.839813,18.335468
-181.787094,283.703613,18.214169
-179.768707,283.596405,18.087339
-177.599503,283.515991,17.950779
-175.267197,283.460999,17.799429
-172.747101,283.429688,17.627729
-172.359299,283.431305,17.600868
-168.529800,283.122314,17.412390
-165.090500,282.247406,17.254089
-162.097794,280.927002,17.139528
-159.627396,279.340302,17.067148
-157.651199,277.641113,17.012758
-155.899796,275.697296,16.955099
-154.371704,273.498199,16.894249
-153.104202,271.064514,16.818878
-152.124893,268.420685,16.717548
-151.454605,265.615387,16.578878
-151.069901,263.503693,16.415892
-150.691803,261.429504,16.256250
-150.319305,259.387207,16.099710
-149.952103,257.375305,15.946021
-149.589996,255.392502,15.794930
-149.231903,253.433594,15.646201
-148.877899,251.498306,15.499601
-148.527100,249.583298,15.354871
-148.179001,247.684204,15.211791
-147.833298,245.800995,15.070132
-147.489807,243.931900,14.929652
-147.147507,242.071701,14.790142
-146.805893,240.218002,14.651352
-146.464798,238.369293,14.513082
-146.123901,236.524994,14.375092
-145.782104,234.678802,14.237182
-145.439407,232.830704,14.099113
-145.095398,230.978394,13.960683
-144.748993,229.116501,13.821672
-144.400208,227.244904,13.681863
-144.048096,225.359207,13.541033
-143.692795,223.459396,13.398973
-143.333603,221.542694,13.255473
-142.969604,219.603195,13.110324
-142.600906,217.642105,12.963374
-142.226700,215.655701,12.814994
-141.846405,213.639206,12.665113
-141.460098,211.594696,12.513664
-141.066605,209.515305,12.360414
-140.665695,207.399704,12.205205
-140.256897,205.245407,12.047854
-139.839905,203.051193,11.888215
-139.414001,200.813095,11.726105
-138.979004,198.530701,11.561365
-138.614807,196.497803,11.414465
-138.239594,193.927002,11.265586
-138.035797,191.374802,11.116635
