distance_integrated_m,speed_reconstructed_kmh,lap_time_s,distance_official_length_scaled_m,drs_on,kers_active,kers_bar_fraction_visual
0,271.795,0,0,1,1,0.195652173913043
1,272.000089864262,0.0132329913621088,1.01386414626183,1,1,0.195652173913043
2,272.208029372768,0.0264655055398026,2.02772829252365,1,1,0.195652173913043
3,272.415968881275,0.0396980197174963,3.04159243878548,1,1,0.195652173913043
4,272.694159036088,0.0528940883507853,4.0554565850473,1,1,0.195652173913043
5,272.976881549177,0.0660878056282723,5.06932073130913,1,1,0.195652173913043
6,273.259604062266,0.0792815229057592,6.08318487757095,1,1,0.195652173913043
7,273.541522987809,0.0924377394311065,7.09704902383278,1,1,0.435704542908155
8,273.823360148561,0.10559014026618,8.11091317009461,1,0,0.70018216839605
9,274.105197309313,0.118742541101253,9.12477731635643,1,0,0.964659793883945
10,274.386272209938,0.131859369797086,10.1386414626183,1,0,1
11,274.667229546046,0.144970712148803,11.1525056088801,1,0,1
12,274.948186882154,0.15808205450052,12.1663697551419,1,0,1
13,275.159976457501,0.171165097166727,13.1802339014037,1,0,1
14,275.356126112423,0.184241740828187,14.1940980476656,1,0,1
15,275.552275767345,0.197318384489648,15.2079621939274,1,0,1
16,275.748102641356,0.210373509423704,16.2218263401892,1,0,1
17,275.943825729431,0.223421715295397,17.235690486451,1,0,1
18,276.139548817506,0.23646992116709,18.2495546327129,1,0,1
19,276.334978367993,0.249498557866184,19.2634187789747,1,0,1
20,276.530276740506,0.262518449367089,20.2772829252365,1,0,1
21,276.72557511302,0.275538340867993,21.2911470714983,1,0,1
22,276.920611760195,0.288540784012992,22.3050112177602,1,0,1
23,277.115487256406,0.301532483760375,23.318875364022,1,0,1
24,277.310362752616,0.314524183507759,24.3327395102838,1,0,1
25,277.505010870544,0.327500724702917,25.3466036565456,1,0,1
26,277.699465317789,0.340464354519265,26.3604678028075,1,0,1
27,277.893919765034,0.353427984335614,27.3743319490693,1,0,1
28,278.073499606918,0.366379968553459,28.3881960953311,1,0,1
29,278.235224674304,0.379317973944295,29.4020602415929,1,0,1
30,278.396949741689,0.39225597933513,30.4159243878548,1,0,1
31,278.55856956278,0.405185565022421,31.4297885341166,1,0,1
32,278.720004540359,0.418100363228699,32.4436526803784,1,0,1
33,278.881439517937,0.431015161434977,33.4575168266402,1,0,1
34,279.04279772829,0.443923818263205,34.4713809729021,1,0,1
35,279.203943654879,0.456815492390331,35.4852451191639,1,0,1
36,279.365089581468,0.469707166517457,36.4991092654257,1,0,1
37,279.526188617069,0.482595089365505,37.5129734116875,1,0,1
38,279.687046525916,0.49546372207328,38.5268375579494,1,0,1
39,279.847904434763,0.508332354781054,39.5407017042112,1,0,1
40,280.006998617059,0.521199861705924,40.554565850473,1,0,1
41,280.135478274447,0.534047827444682,41.5684299967348,1,0,1
42,280.263957931834,0.54689579318344,42.5822941429967,1,0,1
43,280.392437589222,0.559743758922198,43.5961582892585,1,0,1
44,280.520744877049,0.572574487704918,44.6100224355203,1,0,1
45,280.649041384533,0.585404138453314,45.6238865817822,1,0,1
46,280.777337892017,0.59823378920171,46.637750728044,1,0,1
47,280.958197896282,0.611046526418787,47.6516148743058,1,0,1
48,281.150334526775,0.623855635118306,48.6654790205676,1,0,1
49,281.342471157267,0.636664743817826,49.6793431668295,1,0,1
50,281.578999378992,0.649449968949609,50.6932073130913,1,0,1
51,281.834499733854,0.66222498669269,51.7070714593531,1,0,1
52,282.090000088715,0.67500000443577,52.7209356056149,1,0,1
53,282.345088552725,0.687754427636235,53.7347997518768,1,0,1
54,282.599865622788,0.70049328113942,54.7486638981386,1,0,1
55,282.854642692852,0.713232134642604,55.7625280444004,1,0,1
56,283.054593970692,0.725959397069209,56.7763921906622,1,0,1
