system,active_interval_number,start_lap_time_s,end_lap_time_s,duration_s,start_distance_m,end_distance_m,start_speed_kmh,end_speed_kmh,transition_time_uncertainty_s
DRS,1,0,5.5005,5.5005,0,455.976545949074,271.795,313.916666666667,0.02
DRS,2,20.2205,25.4205,5.2,1050.33358298611,1426.74600362104,199.9,295.971428571429,0.02
DRS,3,31.2205,34.9005,3.68000000000001,1650.68441631944,1864.79774965278,146.8,255.6,0.02
DRS,4,49.8205,53.8205,4.00000000000001,2687.03052743055,2970.59344409723,205.2,287.375,0.02
DRS,5,64.9005,78.9005,14,3431.55774965278,4574.283721875,224.8,312.325,0.02
DRS,6,85.7405,88.7005,2.95999999999999,4833.28511076389,5006.444971875,155.875000000001,251.6,0.02
DRS,7,91.8205,95.121,3.3005,5169.18941631945,NaN,177,NaN,0.02
KERS,1,0,0.100499999999998,0.100499999999998,0,7.61298774801576,271.795,273.714285714285,0.02
KERS,2,19.6205,21.6205,2,1018.66691631944,1136.94413854167,180.1,243.9,0.02
KERS,3,49.6205,51.2205,1.59999999999999,2675.76663854167,2775.59969409722,200,247.9,0.02
KERS,4,63.8205,67.1005,3.28,3367.44691631945,3581.1338607639,200.9,263.6,0.02
